抗菌药物通用名,匹配规则,规则等级
2-(4-氯苯氧基)乙醇,2-(4-chlorphenoxy)-ethanol,1
2-(4-氯苯氧基)乙醇,2-(4-氯苯氧基)乙醇,1
2-(4-氯苯氧基)乙醇,氟胺磺隆三嗪,1
2-(4-氯苯氧基)乙醇,.*2-(4-氯苯氧基)乙醇.*,2
2-(4-氯苯氧基)乙醇,.*氟胺磺隆三嗪.*,3
eravacycline,eravacycline,1
eravacycline,依拉环素,1
eravacycline,.*eravacycline.*,2
eravacycline,.*依拉环素.*,3
isavuconazole,isavuconazole,1
isavuconazole,艾沙康唑,1
isavuconazole,.*isavuconazole.*,2
isavuconazole,.*艾沙康唑.*,3
lefamulin,lefamulin,1
lefamulin,来法莫林,1
lefamulin,.*lefamulin.*,2
lefamulin,.*来法莫林.*,3
Linopristin-flopristin,Linopristin-flopristin,1
Linopristin-flopristin,.*Linopristin-flopristin.*,2
Omadacycline,Omadacycline,1
Omadacycline,奥马环素,1
Omadacycline,.*Omadacycline.*,2
Omadacycline,.*奥马环素.*,3
plazomicin,plazomicin,1
plazomicin,普拉唑霉素,1
plazomicin,.*plazomicin.*,2
plazomicin,.*普拉唑霉素.*,3
Razupenem,Razupenem,1
Razupenem,雷珠培南,1
Razupenem,.*Razupenem.*,2
Razupenem,.*雷珠培南.*,3
阿贝卡星,arbekacin,1
阿贝卡星,阿贝卡星,1
阿贝卡星,.*阿贝卡星.*,2
阿地砜钠,aldesulfone sodium,1
阿地砜钠,亚磺胺苯砜钠,1
阿地砜钠,大艾松钠,1
阿地砜钠,狄阿宗,1
阿地砜钠,硫福宋钠,1
阿地砜钠,色井松钠,1
阿地砜钠,阿地砜钠,1
阿地砜钠,.*阿地砜钠.*,2
阿地砜钠,.*亚磺胺苯砜钠.*,3
阿地砜钠,.*大艾松钠.*,3
阿地砜钠,.*狄阿宗.*,3
阿地砜钠,.*硫福宋钠.*,3
阿地砜钠,.*色井松钠.*,3
阿度西林,azidocillin,1
阿度西林,阿度西林,1
阿度西林,.*阿度西林.*,2
阿洛西林,azlocillin,1
阿洛西林,Azlocillin Sodium,1
阿洛西林,Azlocillin sodium,1
阿洛西林,Azlocillin Sodium for Injection,1
阿洛西林,Azlocillin sodium for lnjection,1
阿洛西林,咪氨苄西林,1
阿洛西林,氧咪苄青霉素,1
阿洛西林,注射用苯咪唑青霉素钠,1
阿洛西林,注射用阿洛西林钠,1
阿洛西林,苯咪唑青霉素,1
阿洛西林,阿乐欣,1
阿洛西林,阿洛西林,1
阿洛西林,阿洛西林钠,1
阿洛西林,.*阿洛西林.*,2
阿洛西林,.*咪氨苄西林.*,3
阿洛西林,.*氧咪苄青霉素.*,3
阿洛西林,.*注射用苯咪唑青霉素钠.*,3
阿洛西林,.*苯咪唑青霉素.*,3
阿洛西林,.*阿乐欣.*,4
阿米卡星,amikacin,1
阿米卡星,Amikacin,1
阿米卡星,Amikacin Eye Drops,1
阿米卡星,Amikacin Lotion,1
阿米卡星,Amikacin Sodium Injection,1
阿米卡星,Amikacin Sulfate,1
阿米卡星,Amikacin Sulfate and Sodium Chloride Injection,1
阿米卡星,Amikacin Sulfate For Injection,1
阿米卡星,Amikacin Sulfate for Injection,1
阿米卡星,Amikacin Sulfate Iniection,1
阿米卡星,Amikacin Sulfate Injection,1
阿米卡星,Amikacin Sulfate lnjection,1
阿米卡星,Amikacinsulfate,1
阿米卡星,丁胺卡那,1
阿米卡星,丁胺卡那霉素,1
阿米卡星,注射用硫酸阿米卡星,1
阿米卡星,硫酸阿米卡星,1
阿米卡星,硫酸阿米卡星氯化钠注射液,1
阿米卡星,硫酸阿米卡星注射液,1
阿米卡星,米丽先,1
阿米卡星,米英杰,1
阿米卡星,阿米卡星,1
阿米卡星,阿米卡星洗剂,1
阿米卡星,阿米卡星滴眼液,1
阿米卡星,阿米卡那霉素,1
阿米卡星,阿米苄霉素,1
阿米卡星,.*阿米卡星.*,2
阿米卡星,.*丁胺卡那.*,3
阿米卡星,.*丁胺卡那霉素.*,3
阿米卡星,.*阿米卡那霉素.*,3
阿米卡星,.*阿米苄霉素.*,3
阿米卡星,.*米英杰.*,4
阿米卡星,.*米丽先.*,4
阿莫罗芬,amorolfine,1
